Model,Accuracy,Precision,Recall,F1
Poly SVM,0.8,1.0,0.55,0.7096774193548387
RBF SVM,0.8444444444444444,0.8421052631578947,0.8,0.8205128205128205
Sigmoid SVM,0.7555555555555555,0.6956521739130435,0.8,0.7441860465116279
Logistic Regression,0.8222222222222222,0.8,0.8,0.8000000000000002
Random Forest,0.8222222222222222,0.9285714285714286,0.65,0.7647058823529412
Gradient Boosting,0.7555555555555555,0.8,0.6,0.6857142857142857
KNN,0.7333333333333333,0.7,0.7,0.7
Decsion Tree,0.7333333333333333,0.7222222222222222,0.65,0.6842105263157895
Bagging,0.8,0.8235294117647058,0.7,0.7567567567567567
Adaboost,0.8222222222222222,0.9285714285714286,0.65,0.7647058823529412
Navie Bayse,0.8222222222222222,0.8,0.8,0.8000000000000002
Linear SVM,0.7333333333333333,0.7619047619047619,0.6956521739130435,0.7272727272727272
