Model,Accuracy,Precision,Recall,F1
Linear SVM,0.7777777777777778,0.7083333333333334,0.85,0.7727272727272727
Poly SVM,0.8,0.7894736842105263,0.75,0.7692307692307692
RBF SVM,0.8,0.7894736842105263,0.75,0.7692307692307692
Logistic Regression,0.7777777777777778,0.7083333333333334,0.85,0.7727272727272727
Random Forest,0.8222222222222222,0.8,0.8,0.8000000000000002
Gradient Boosting,0.8,0.7894736842105263,0.75,0.7692307692307692
KNN,0.7555555555555555,0.7368421052631579,0.7,0.717948717948718
Decsion Tree,0.8222222222222222,0.8,0.8,0.8000000000000002
Bagging,0.7777777777777778,0.75,0.75,0.75
Adaboost,0.7777777777777778,0.75,0.75,0.75
Sigmoid SVM,0.7333333333333333,0.6538461538461539,0.85,0.7391304347826088
Navie Bayse,0.7777777777777778,0.6923076923076923,0.9,0.7826086956521738
