,Frequency
user,98
{},10
password,70
alice,4
123456,6
username,18
$regex,16
^test,6
$ne,9
testuser,6
$gt,17
guest,14
john,11
qwerty,9
category,12
electronics,12
price,8
name,21
^S,4
selector,4
department,8
engineering,4
_id,4
001,4
John Doe,5
HR,4
salary,4
pass,2
admin,10
$username,1
$password,1
id,1
value,1
John,1
age,5
test,13
type,7
roles,7
Alice,1
Bob,1
password123,2
pass123,1
Jane,1
password2023,2
secure123,1
test{},2
benign28,1
$type,1
benign1,1
benign1password,1
^benign2,1
$in,7
benign3,1
$size,5
^(benign4|benign5)\\d+,1
$eq,2
benign6,1
^benign7,1
benign10,1
benign10password,1
benign11,1
benign11password,1
benign12,1
benign12password,1
^benign13,1
test456{},1
benign14,1
^(benign15|benign16)\\d+,1
benign17,1
^benign18,1
benign21,1
benign21password,1
benign22,1
benign22password,1
benignpassword,13
benign26,1
Superuser,1
benign34,1
benign35,1
root,1
benign36,1
hacker,2
Admin123,1
